Year,Average_Oil_Price
1986,15.047689243027888
1987,19.200511811023624
1988,15.965408560311284
1989,19.635486381322956
1990,24.52657587548638
1991,21.5413671875
1992,20.57556420233463
1993,18.4322
1994,17.196428571428573
1995,18.428804780876494
1996,22.119173228346458
1997,20.60825396825397
1998,14.42207171314741
1999,19.344980079681275
2000,30.37852
2001,25.98312
2002,26.18496
2003,31.07524
2004,41.506024096385545
2005,56.637250996015936
2006,66.05465863453816
2007,72.34059523809525
2008,99.67150197628459
2009,61.95043650793651
2010,79.47571428571429
2011,94.88087301587301
2012,94.05333333333333
2013,97.98253968253968
2014,93.17222222222223
2015,48.656706349206345
2016,43.29365079365079
2017,50.80032
2018,65.22746987951807
2019,56.98832
2020,39.16043650793651
2021,68.13509960159362
2022,94.90286852589641
2023,77.57653225806452
2024,76.63224000000001
2025,65.38810483870968
2026,85.09681415929204
